algo,taille,serie,temps,hauteur
vorace,100000,6,0.026226 ,135156441
vorace,100000,6,0.026309 ,131311715
vorace,100000,6,0.027034 ,133927602
vorace,100000,6,0.026242 ,130882885
vorace,100000,6,0.026448 ,129363547
vorace,100000,6,0.026258 ,131822715
vorace,100000,6,0.026344 ,129671789
vorace,5000,2,0.001065 ,1364828
vorace,5000,2,0.001065 ,1416738
vorace,5000,2,0.001329 ,1360180
vorace,5000,2,0.001050 ,1487326
vorace,5000,2,0.001038 ,1399675
vorace,5000,2,0.001041 ,1362408
vorace,5000,2,0.001041 ,1435894
vorace,5000,2,0.001038 ,1361438
vorace,5000,2,0.001077 ,1437788
vorace,5000,2,0.001041 ,1383800
vorace,50000,10,0.012571 ,47055230
vorace,50000,10,0.012586 ,44978241
vorace,50000,10,0.012570 ,45551795
vorace,50000,10,0.012534 ,46064374
vorace,50000,10,0.012561 ,45930209
vorace,50000,10,0.012514 ,46316085
vorace,50000,10,0.012567 ,44042062
vorace,50000,10,0.012542 ,45251849
vorace,50000,10,0.012618 ,45950385
vorace,50000,10,0.012630 ,46135382
vorace,10000,8,0.002215 ,4209852
vorace,10000,8,0.002473 ,4273625
vorace,10000,8,0.002715 ,4052805
vorace,10000,8,0.002277 ,4020559
vorace,10000,8,0.002220 ,4033478
vorace,10000,8,0.002300 ,4186546
vorace,10000,8,0.002325 ,4362477
vorace,10000,8,0.002222 ,4012767
vorace,10000,8,0.002314 ,4176149
vorace,10000,8,0.003294 ,4276811
vorace,100,8,0.000021 ,4344
vorace,100,8,0.000018 ,3873
vorace,100,8,0.000019 ,4120
vorace,100,8,0.000018 ,4640
vorace,100,8,0.000018 ,3577
vorace,100,8,0.000018 ,3585
vorace,100,8,0.000018 ,4004
vorace,100,8,0.000017 ,4429
vorace,100,8,0.000019 ,4032
vorace,100,8,0.000028 ,3770
vorace,500,1,0.000095 ,44889
vorace,500,1,0.000133 ,43124
vorace,500,1,0.000089 ,38926
vorace,500,1,0.000090 ,43924
vorace,500,1,0.000089 ,42285
vorace,500,1,0.000088 ,41824
vorace,500,1,0.000089 ,43203
vorace,500,1,0.000089 ,42083
vorace,500,1,0.000092 ,41860
vorace,500,1,0.000089 ,39132
vorace,100,6,0.000019 ,5284
vorace,100,6,0.000018 ,5354
vorace,100,6,0.000019 ,5087
vorace,100,6,0.000018 ,5282
vorace,100,6,0.000023 ,5648
vorace,100,6,0.000022 ,4470
vorace,100,6,0.000080 ,4533
vorace,100,6,0.000018 ,4491
vorace,100,6,0.000023 ,5900
vorace,100,6,0.000018 ,4687
vorace,500,10,0.000089 ,49266
vorace,500,10,0.000089 ,48119
vorace,500,10,0.000089 ,52913
vorace,500,10,0.000089 ,56655
vorace,500,10,0.000090 ,54262
vorace,500,10,0.000094 ,49650
vorace,500,10,0.000137 ,49053
vorace,500,10,0.000092 ,49195
vorace,500,10,0.000088 ,51888
vorace,500,10,0.000152 ,49889
vorace,1000,5,0.000186 ,119041
vorace,1000,5,0.000184 ,104440
vorace,1000,5,0.000236 ,108962
vorace,1000,5,0.000277 ,119779
vorace,1000,5,0.000265 ,123975
vorace,1000,5,0.000237 ,118404
vorace,1000,5,0.000185 ,114113
vorace,1000,5,0.000214 ,122392
vorace,1000,5,0.000184 ,116351
vorace,1000,5,0.000183 ,114490
vorace,50000,5,0.012500 ,44995001
vorace,50000,5,0.012563 ,44419749
vorace,50000,5,0.012931 ,45446508
vorace,50000,5,0.012590 ,43370944
vorace,50000,5,0.012466 ,44562624
vorace,50000,5,0.012538 ,44849288
vorace,50000,5,0.012626 ,44704174
vorace,50000,5,0.012517 ,43852950
vorace,50000,5,0.012531 ,45169290
vorace,50000,5,0.012496 ,44748934
vorace,1000,4,0.000184 ,129999
vorace,1000,4,0.000184 ,123039
vorace,1000,4,0.000246 ,141209
vorace,1000,4,0.000185 ,139187
vorace,1000,4,0.000185 ,131508
vorace,1000,4,0.000185 ,143894
vorace,1000,4,0.000236 ,139141
vorace,1000,4,0.000210 ,147326
vorace,1000,4,0.000185 ,133143
vorace,1000,4,0.000258 ,133794
vorace,1000,8,0.000266 ,133759
vorace,1000,8,0.000184 ,132926
vorace,1000,8,0.000232 ,121315
vorace,1000,8,0.000184 ,133192
vorace,1000,8,0.000183 ,136024
vorace,1000,8,0.000184 ,137451
vorace,1000,8,0.000223 ,137975
vorace,1000,8,0.000185 ,138190
vorace,1000,8,0.000183 ,131304
vorace,1000,8,0.000252 ,135478
